player_name,college
Travis Knight,Connecticut
Matt Fish,North Carolina-Wilmington
Matt Bullard,Iowa
Marty Conlon,Providence
Martin Muursepp,None
Martin Lewis,Seward County Community College
Mark West,Old Dominion
Mark Strickland,Temple
Mark Price,Georgia Tech
Mark Jackson,St. John's (NY)
Mark Hendrickson,Washington State
Mark Davis,Texas Tech
Mark Bryant,Seton Hall
Mark Bradtke,None
Mario Elie,American International
Marcus Camby,Massachusetts
Marcus Brown,Murray State
Malik Sealy,St. John's (NY)
Malik Rose,Drexel
Mahmoud Abdul-Rauf,Louisiana State
Lucious Harris,Long Beach State
Luc Longley,New Mexico
Loy Vaught,Michigan
Lou Roe,Massachusetts
Matt Geiger,Georgia Tech
Matt Maloney,Pennsylvania
Matt Steigenga,Michigan State
Melvin Booker,Missouri
Pervis Ellison,Louisville
Patrick Ewing,Georgetown
P.J. Brown,Louisiana Tech
Otis Thorpe,Providence
Othella Harrington,Georgetown
Oliver Miller,Arkansas
Olden Polynice,Virginia
Nick Van Exel,Cincinnati
Nick Anderson,Illinois
Nate McMillan,North Carolina State
Nate Driggers,Montevallo
Lorenzo Williams,Stetson
Muggsy Bogues,Wake Forest
Moochie Norris,West Florida
Monty Williams,Notre Dame
Mitchell Butler,UCLA
Mitch Richmond,Kansas State
Mike Brown,George Washington
Michael Smith,Providence
Michael Jordan,North Carolina
Michael Hawkins,Xavier
Michael Finley,Wisconsin
Michael Curry,Georgia Southern
Michael Cage,San Diego State
Mookie Blaylock,Oklahoma
Pooh Richardson,UCLA
Lorenzen Wright,Memphis
Lloyd Daniels,Mt. San Antonio
Keith Askins,Alabama
Karl Malone,Louisiana Tech
Juwan Howard,Michigan
Jud Buechler,Arizona
Jon Barry,Georgia Tech
Johnny Newman,Richmond
John Wallace,Syracuse
John Stockton,Gonzaga
John Starks,Oklahoma State
John Long,Detroit Mercy
John Crotty,Virginia
Joe Wolf,North Carolina
Joe Stephens,Arkansas-Little Rock
Joe Smith,Maryland
Joe Kleine,Arkansas
Joe Dumars,McNeese State
Joe Courtney,Southern Mississippi
Jimmy Oliver,Purdue
Jimmy King,Michigan
Jimmy Carruth,Virginia Tech
Jim McIlvaine,Marquette
Jim Jackson,Ohio State
Jerry Stackhouse,North Carolina
Keith Tower,Notre Dame
Ken Norman,Illinois
Kendall Gill,Illinois
Kenny Anderson,Georgia Tech
Litterial Green,Georgia
Lionel Simmons,La Salle
Lindsey Hunter,Jackson State
Lee Mayberry,Arkansas
Lawrence Moten,Syracuse
Latrell Sprewell,Alabama
Larry Stewart,Coppin State
Larry Krystkowiak,Montana
Larry Johnson,Nevada-Las Vegas
Lamond Murray,California
LaSalle Thompson,Texas
Loren Meyer,Iowa State
LaPhonso Ellis,Notre Dame
Kobe Bryant,None
Khalid Reeves,Arizona
Kevin Willis,Michigan State
Kevin Salvadori,North Carolina
Kevin Johnson,California
Kevin Garnett,None
Kevin Gamble,Iowa
Kevin Edwards,DePaul
Kevin Duckworth,Eastern Illinois
Kerry Kittles,Villanova
Kenny Smith,North Carolina
Kurt Thomas,Texas Christian
Popeye Jones,Murray State
Priest Lauderdale,Central State (OH)
Rafael Addison,Syracuse
Wayman Tisdale,Oklahoma
Walter McCarty,Kentucky
Walt Williams,Maryland
Voshon Lenard,Minnesota
Vlade Divac,None
Vitaly Potapenko,Wright State
